Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Correlation,Manipulative,Disease_specific,Disease_general,Notes,Coral,Region,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Black-band disease,BBD,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Pomacentrus,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes apicalis,Pomacentridae,Stegastes,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Stegastes nigricans,Pomacentridae,Stegastes,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Gomphosus varius,Labridae,Gomphosus,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",,,,,
Chong-Seng et al. 2011,Parrotfish,Scaridae,Parrotfish,Chordata,NA,N,Y,NA,NA,Brown band disease,BrB,"Termed ""non-corallivores""",Acropora spp.,"Lizard Island, Australia",,,
Pratchett et al. 2010,Cymo melanodactylus,Xanthidae,Cymo,Arthropoda,Positive,N,N,Positive,NA,Recent tissue loss--maybe a white syndrome?,White,"Not necessarily increasing disease here, but more crabs where there are more decaying corals",Acropora cytherea,Chagos archipelago,,,
Wolf and Nugues 2013 (Ecology),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Positive,N,N,NA,Increased,White plague,White,No effect of C. abbreviata ,"Montastraea faveolata; S. sidera in the field (negative relationship between fireworm abundance and tissue condition--not examined in the lab); surveyed: M. faveolata, Montastraea cavernosa, Siderastrea siderea, Colpophyllia natans, Diploria strigos",Curaçao,,,
Wolf and Nugues 2013 (Ecology),Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,N,N,NA,None,White plague,White,C. abbreviata did not have the same effect--see Fig.3,,,,,
Zaneveld et al. 2016,Parrotfish,Scaridae,Parrotfish,Chordata,Positive,N,N,NA,Increased,Microbiome shift,Microbiome,Increased bacterial opportunism when predation combined with nutrient pollution,Porites (also looked at other corals but just Porites-parrotfish part they discuss in terms of predation-microbiome),Florida Keys,,,
van de Water et al. 2015 (Molecular Ecology),NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Acropora aspera,"Heron Island, GBR",,,
Soyoka and Nadaoka 2020,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,White syndrome,White,,,,,,
Soyoka and Nadaoka 2020,Drupella spp.,Muricidae,Drupella,Mollusca,Positive,N,N,Positive,NA,Growth anomolies,GA,,All corals,Southwestern Japan,,,
Maher et al. 2019,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,,Pocillopora meandrina,"Mo'orea, French Polynesia",,,
Scott et al. 2017,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,No effect of either corallivore,All corals,"Koh Tao, Thailand",,,
Ezzat et al. 2020,Chlorurus spilurus,Scaridae,Chlorurus,Chordata,Positive,N,N,Positive,Increased,Microbiome shift,Microbiome,Shifted microbiome in a distinct way from wounding,Porites lobata,"Mo'orea, French Polynesia",,,
Ezzat et al. 2019,Ctenochaetus striatus,Acanthuridae,Ctenochaetus,Chordata,Positive,N,N,NA,Increased,Microbiome shift,Microbiome,Feaces increased bacterial opportunism when wounded,Porites lobata,"Mo'orea, French Polynesia",,,
Bright et al. 2015,NA,NA,NA,NA,NA,N,N,NA,NA,NA,NA,Not about corallivore effect on disease exactly,Acropora cervicornis,Florida,,,
Bright et al. 2016,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Positive,N,N,Positive,NA,"White pox disease, white band disease",White,Snails attracted to diseased corals in a y-maze,Acropora palmata,USVI (St. John and St. Thomas),,,
Nagelkerken et al. 1997,Cyphoma gibbosum,Ovulidae,Cyphoma,Mollusca,Positive,N,N,Positive,NA,Aspergillosis,Aspergillosis,,Octocorals: Gorgonia ventalina and G. flabellum,"San Salvador, British VI, Key West, Jamaica, Puerto Rico, Saba, and Trinidad",,,
Slattery 1999,Thalassoma bifasciatum,Labridae,Thalassoma,Chordata,NA,N,Y,NA,NA,Aspergillosis,Aspergillosis,Didn't include Cyphoma gibbosum because they don't say explicitly that it was found on the disease margin,Gorgonia ventalina,Belize,,,
Slattery 1999,Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,NA,N,Y,NA,NA,Aspergillosis,Aspergillosis,,,,,,
Slattery 1999,Cyphoma gibbosum,Ovulidae,Cyphoma,Mollusca,Positive,N,N,Positive,NA,Aspergillosis,Aspergillosis,More grazing scars on diseased sea fans (authors suggest it's because there are weakened defenses in the infected coral so easier to eat),,,,,
