Publication,Corallivore_Weffect,Corallivore_phylum,Effect,Reservoir,Direct_lesion_feeding,Disease_specific,Disease_general,Notes,Coral,Region,,,
Slattery 1999,Chaetodontidae,Chordata,NA,N,Y,Aspergillosis,Aspergillosis,,,,,,
Slattery 1999,Cyphoma gibbosum,Mollusca,Positive,N,N,Aspergillosis,Aspergillosis,More grazing scars on diseased sea fans (authors suggest it's because there are weakened defenses in the infected coral so easier to eat),,,,,
Slattery et al. 2013 (Coral Reefs),Chaetodontidae (NO SPECIFIC SPP OBSERVED),Chordata,Positive,N,N,Sinularia Tissue Loss Disease,Sinularia TLD,"Feeding scars increased on diseased corals ( not that more predation = more disease, but that more disease = more predation, but still a positive relationship so included here). No specific species though! ","Sinularia soft corals (S. maxima, S. polydactyla, and a hybrid)",Guam,,,
Moreira et al. 2013 (Current Microbiology),Hermodice carunculata,Annelida,Positive,N,N,Bleaching,Bleaching,Not included as a reservoir because none of the pathogens inside the worms were implicated in disease,Madracis decactis,"St. Peter and St. Paul Archipelago, Mid-Atlantic Ridge, Brazil",,,
Ross 2014 (Revista de Biologia Tropical),NA,NA,NA,N,N,NA,NA,No significant effect between disease and fireworms,Acropora cervicornis,"Montego Bay, Jamaica",,,
Shirur et al. 2016 (Mar Biol),NA,NA,NA,N,N,NA,NA,Wounding,Gorgonians: Eunicea flexuosa and Pseudoplexaura porosa,"Puerto Morelos, Mexico",,,
Ranith et al. 2017 (Marine Ecology),Parrotfish (scars),Chordata,Positive,N,N,Black-band disease,BBD,,All corals,"Lakshadweep, Arabian Sea (200km from India)",,,
Vermeij et al. 2015 MEPS,Stegastes planifrons,Chordata,Positive,N,N,General disease (lots of YBD),General,,Orbicella species complex,Bonaire,,,
Martin et al. 2018,Chaetodontidae,Chordata,NA,Y,N,Trematodiasis,Trematodiasis,Described trematodes in parrotfish,"NA (or, well, would be Porites?)",French Polynesia and Hawaii,,,
Kellogg et al. 2017 (Bull Mar Scie),Acanthurus leucopareius,Chordata,NA,N,Y,Black-band disease,BBD,,Montipora patula,"Kauai, Hawai'i",,,
Casey et al. 2014,Stegastes nigricans,Chordata,Positive,N,N,Black-band disease,BBD,,,,,,
Casey et al. 2014,Stegastes apicalis,Chordata,Positive,N,N,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Willis et al. 2004,NA,NA,NA,N,N,NA,NA,No relationship observed,All corals,Great Barrier Reef,,,
